키워드,회사명,제목,링크,지역,경력,학력,연봉,고용형태,마감일,직무분야,연봉정보
python,(주)만들다컴퍼니,"지속 성장가능한 개발 인력 모집-Flutter,Python,JAVA,재택가능",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472340&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=cc2fbb87-1ae2-4218-976c-23ac9305dd08,경기 안양시 동안구,경력무관,대졸↑,"3,000 만원",정규직,채용시,"Python, Java, 웹개발, 백엔드/서버개발, 앱개발 외                    수정일 24/11/26",인기있는
python,(주)니트머스,"[신입/경력] 온라인 광고 플랫폼 개발 (Python, Django)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49214740&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=cc2fbb87-1ae2-4218-976c-23ac9305dd08,서울 영등포구,신입,초대졸↑,"3,300 만원",정규직,~ 12/16(월),"Python, 웹개발, 백엔드/서버개발, S/W, Django 외                    수정일 24/11/22",연봉상승률 10% 이상
python,(주)씨에스엠17,NestJS+Python 백엔드 개발자 팀장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49328612&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=cc2fbb87-1ae2-4218-976c-23ac9305dd08,서울 금천구,경력5년↑,대졸↑,"7,000 만원",정규직,~ 12/03(화),"Python, C++, AWS, 웹개발, 백엔드/서버개발 외                    수정일 24/11/04",취업축하금
python,(주)기가스,"[경력] Payment Service 개발팀 백엔드/Python,Django 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49217419&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=cc2fbb87-1ae2-4218-976c-23ac9305dd08,대구 수성구,경력4년↑,대졸↑,"6,000 만원",정규직,~ 12/16(월),"Python, 솔루션, 웹개발, 백엔드/서버개발, Django 외                    수정일 24/10/31",자유로운 연차
python,화랑,Vision/MFC/C# Python Tensorflow CUDA yolo v8 개발직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49360095&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=8fed3b45-e826-4d3e-8484-97e631f24036,충남 천안시 동남구,경력무관,초대졸↑,"2,500 만원",정규직,~ 01/07(화),"Python, C++, 솔루션, DBMS, S/W 외                    등록일 24/11/08",프리한 복장
python,한단제어기술,"PC 제어프로그래머 (C, C++, C#, Python)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49335326&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=8fed3b45-e826-4d3e-8484-97e631f24036,경기 안양시 동안구,경력무관,대졸↑,"4,500 만원",정규직,~ 12/05(목),"Python, C++, SE(시스템엔지니어), 라즈베리파이, 로봇엔지니어 외                    등록일 24/11/05",
python,더조은컴퓨터아카데미종로,"[NCS 훈련교사] 빅데이터(파이썬)엘러스틱서치,자바웹 전문강사",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408730&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=8fed3b45-e826-4d3e-8484-97e631f24036,서울 종로구,경력무관,학력무관,"9,860 원",기간제·계약직,~ 12/15(일),"직업훈련, 컴퓨터교육, 훈련교사, IT학원 등록일 24/11/15",
python,다산팩 주식회사,데이터 분석팀 - 데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423318&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f917313e-96c2-4b1d-bbf5-19223219be5b,서울 송파구,경력무관,대졸↑,"3,500 만원",정규직,~ 12/18(수),"Python, 데이터시각화, 빅데이터, 더존, 경영지원 외                    등록일 24/11/18",연봉상승률 20% 이상
python,칼주식회사(영업소),[일본근무/CAL주식회사] IT개발자 정사원 채용/ 미경험 신입환영,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348031&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f917313e-96c2-4b1d-bbf5-19223219be5b,일본,경력무관,초대졸↑,"3,600 만원",정규직,~ 12/06(금),"Python, C++, Java, 솔루션, 웹개발 외                    수정일 24/11/20",인기있는
python,주식회사 디센트릭,[디센트릭] 소셜 데이터 분석 채용연계형 인턴십,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49446797&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f917313e-96c2-4b1d-bbf5-19223219be5b,경기 과천시,신입,대졸↑,230 만원,인턴직,오늘마감,"Python, 솔루션, 데이터분석가, 데이터시각화, 빅데이터 외                    수정일 24/11/21",IT개발·데이터 지원 급상승
