회사명,대표자명,기업형태,업종,사원수,설립일,매출액,홈페이지,기업주소
(주)만들다컴퍼니,정태양,중소기업,시스템 소프트웨어 개발 및 공급업,,2024년 7월 9일(업력 1년차),,,"경기 안양시 동안구 벌말로102번길 49, 5층 501-5호 (관양동,안양스마트베이2)"
(주)니트머스,김용재,"중소기업, 주식회사",시스템 소프트웨어 개발 및 공급업,23 명(2022년 기준),2004년 12월 1일(업력 21년차),"38억 7,089만원(2022년 기준)",http://www.nitmus.com,"서울 영등포구 경인로 725, 7층 (문래동2가,조양빌딩)"
(주)씨에스엠17,성민,"중소기업, 주식회사",응용 소프트웨어 개발 및 공급업,24 명(2024년 기준),2019년 12월 6일(업력 6년차),11억 852만원(2023년 기준),http://csm17.com,"서울 금천구 가산디지털1로 171, 713호 (가산동,에스케이브이원)"
(주)기가스,김경봉,,솔루션·SI·ERP·CRM,6 명(2024년 기준),,,,대구 서구 와룡로 307
화랑,김보환,중소기업,반도체 제조용 기계 제조업,,,"3억 1,100만원(2021년 기준)",,"충남 천안시 동남구 서부대로 257-19, 201호"
더조은컴퓨터아카데미종로,이순호,,학원·어학원,,,,http://jr.tjoeun.co.kr,서울 종로구 우정국로2길 21 대왕빌딩
다산팩 주식회사,윤평옥,"중소기업, 사단법인",플라스틱 접착처리 제품 제조업,50 명(2018년 기준),2005년 11월 22일(업력 20년차),240억원(2018년 기준),http://dasanpack.com,"서울 송파구 양재대로 932, 816호 (가락동,가락몰 업무동)"
칼주식회사(영업소),IWAMOTO KENGO이와모토켄고,외국 법인기업,솔루션·SI·ERP·CRM,,1990년 2월 1일(업력 35년차),,http://www.cal.co.jp,서울 종로구 종로 96
주식회사 디센트릭,김완수,"중소기업, 주식회사",컴퓨터시스템 통합 자문 및 구축 서비스업,,2023년 12월 8일(업력 2년차),,https://www.dxentric.co.kr/,"경기 과천시 관문로 92, 101동 2317호, 2318호, 2319호 (중앙동,힐스테이트과천중앙)"
(주)더원테크,김욱현,중소기업,유선 온라인 게임 소프트웨어 개발 및 공..,25 명(2019년 기준),2013년 11월 20일(업력 12년차),"10억 6,616만원(2019년 기준)",http://www.theonetech.co.kr,"경기 성남시 분당구 서현로210번길 1, 4층 405호"
(주)크라우드웍스,김우승,"코스닥, 중소기업, 스타트업, 주식회사",응용 소프트웨어 개발 및 공급업,199 명(2024년 기준),2017년 4월 25일(업력 8년차),"227억 3,443만원(2023년 기준)",http://www.crowdworks.kr,"서울 강남구 테헤란로 309, 5층 (역삼동,삼성제일빌딩)"
한국소니전자(주),오리모토준,"대기업, 1000대기업, 외국인 투자기업, ..","라디오, 녹음 및 재생 기기 제조업",148 명(2024년 기준),1992년 10월 1일(업력 33년차),"227억 5,444만원(2024년 기준)",http://sek.sony.co.kr,경남 창원시 마산회원구 자유무역2길 76
(주)이스트게임즈,김장중,"중소기업, 병역특례 인증업체, 수출입 기업",유선 온라인 게임 소프트웨어 개발 및 공..,135 명(2019년 기준),2011년 7월 1일(업력 14년차),"113억 5,076만원(2019년 기준)",http://www.estgames.co.kr,"서울 서초구 반포대로 3, 5층"
엠클라우드브리지(주),이혁재,중소기업,시스템 소프트웨어 개발 및 공급업,46 명(2024년 기준),2022년 8월 26일(업력 3년차),"139억 8,557만원(2023년 기준)",http://www.mcloudbridge.com,"서울 강남구 테헤란로 242, 7층 (역삼동,아이타워)"
(주)지피티코리아,임성기,중소기업,응용 소프트웨어 개발 및 공급업,17 명(2024년 기준),2023년 4월 20일(업력 2년차),"2,892만원(2023년 기준)",,"서울 금천구 가산디지털1로 128, 제지1층 제비130호 (가산동,에스티엑스브이타워)"
왓트(주),강영준,중소기업,응용 소프트웨어 개발 및 공급업,6 명(2024년 기준),2019년 10월 22일(업력 6년차),,https://withuscpa.co.kr/,서울 서초구 사임당로 174
소프트웨어재난연구센터,최윤자,,솔루션·SI·ERP·CRM,4 명(2024년 기준),,,,대구 북구 대학로 80 경북대학교
이엠솔루션,노상만,"중소기업, 주식회사",응용 소프트웨어 개발 및 공급업,,,28억 443만원(2022년 기준),http://www.em-s.co.kr,"경남 창원시 의창구 창원대로18번길 46, 1413호 (팔용동,경남창원과학기술진흥원)"
소프트웨이(주),계경완,중소기업,응용 소프트웨어 개발 및 공급업,3 명(2024년 기준),2019년 3월 4일(업력 6년차),"1억 5,000만원(2020년 기준)",http://www.softway.co.kr,"서울 강서구 마곡중앙로 161-8, 제8층 제오씨 809호"
(주)포스로직,송종현,"중소기업, 사단법인, 주식회사",응용 소프트웨어 개발 및 공급업,19 명(2024년 기준),2019년 10월 16일(업력 6년차),"13억 5,975만원(2023년 기준)",http://www.fourthlogic.co.kr,"서울 강남구 테헤란로20길 18, 2층-99호 (역삼동,부봉빌딩)"
