키워드,회사명,제목,링크,지역,경력,학력,연봉,고용형태,마감일,직무분야,연봉정보
python,(주)파이오링크,"[코스닥 상장사] Linux,Python,Java,Api 개발자 모집(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458119&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 금천구,신입·경력,초대졸↑,,정규직,~ 12/31(화),"Python, C++, Java, 솔루션, Linux 외                    수정일 24/11/25",IT개발·데이터 지원 TOP100
python,마인드원(주),소프트웨어 개발 (Java&Python) 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49167327&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,신입,대졸↑,,정규직,~ 12/09(월),"Python, Java, 솔루션, 웹개발, 알고리즘 외                    수정일 24/11/29",IT개발·데이터 지원 TOP100
python,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49441156&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,신입·경력,대졸↑,,정규직,~ 12/20(금),"Python, 딥러닝, 머신러닝, 데이터분석가, 빅데이터 외                    등록일 24/11/20",IT개발·데이터 스크랩 TOP100
python,플러거,마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463011&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,경력무관,학력무관,,정규직·계약직,~ 12/25(수),"Python, Java, AWS, DBA, SI개발 외                    등록일 24/11/25",인기있는
python,(주)만들다컴퍼니,"지속 성장가능한 개발 인력 모집-Flutter,Python,JAVA,재택가능",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472340&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,경기 안양시 동안구,경력무관,대졸↑,"3,000 만원",정규직,채용시,"Python, Java, 웹개발, 백엔드/서버개발, 앱개발 외                    수정일 24/11/26",인기있는
python,행복쇼핑(주),[재택근무] REACT · PHP · PYTHON 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476675&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 양천구,경력3년↑,초대졸↑,,정규직,~ 01/25(토),"Python, 딥러닝, AWS, 솔루션, 머신러닝 외                    수정일 24/11/28",재택근무
python,(주)케이엘피,파이썬(Python) 백엔드 개발자 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487511&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,경력무관,고졸↑,,정규직·계약직,오늘마감,"Python, AWS, 백엔드/서버개발, 앱개발, 프론트엔드 외                    등록일 24/11/28",인기있는
python,NIMBYX CAPITAL INC.,"Full Stack Engineer (Python, C# Developer) 풀스택 개발자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49448256&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,신입·경력,대졸↑,,정규직,~ 01/20(월),"Python, C++, ASP, ASP.NET, Azure 외                    등록일 24/11/21",재택근무
python,오에스원(OS1),[웹개발] Python 백엔드/서버 인턴 개발자 채용 (ASAP),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486631&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 중구,경력무관,대졸↑,,인턴직,채용시,"Python, 웹개발, 백엔드/서버개발, API, Pandas 외                    등록일 24/11/28",IT개발·데이터 지원 급상승
python,(주)파이오링크,"[코스닥상장사] L4-L7 스위치 개발 Linux,Python,C(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49403967&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 금천구,신입·경력,학력무관,,정규직,~ 12/14(토),"Python, C++, 솔루션, Linux, C언어 외                    수정일 24/11/27",연봉상승률 10% 이상
